"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","172","185","11","0"
"05-09","158","200","3","0"
"10-14","218","245","8","0"
"15-19","436","413","12","0"
"20-24","652","628","21","0"
"25-29","647","600","30","0"
"30-34","580","641","39","0"
"35-39","515","554","43","0"
"40-44","573","445","37","0"
"45-49","617","465","43","1"
"50-54","669","640","66","2"
"55-59","655","594","86","6"
"60-64","411","435","95","9"
"65-69","237","290","110","22"
"70-74","245","274","140","40"
"75-79","339","292","196","68"
"80-84","598","377","317","141"
"85-89","528","237","209","141"
"90+","581","160","150","155"

"Datenstand 24.02.2021 20:25:16"
