"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","164","173","11","0"
"05-09","151","190","2","0"
"10-14","202","224","8","0"
"15-19","405","394","10","0"
"20-24","623","595","18","0"
"25-29","617","563","26","0"
"30-34","554","603","35","0"
"35-39","496","525","40","0"
"40-44","545","419","32","0"
"45-49","595","444","39","1"
"50-54","641","607","62","2"
"55-59","628","573","81","6"
"60-64","392","417","91","7"
"65-69","226","272","101","19"
"70-74","239","268","134","37"
"75-79","328","284","188","62"
"80-84","575","366","307","127"
"85-89","517","232","202","129"
"90+","559","160","145","139"

"Datenstand 20.02.2021 20:15:12"
