"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","96","98","6","0"
"05-09","93","85","1","0"
"10-14","134","130","5","0"
"15-19","277","251","6","0"
"20-24","418","397","12","0"
"25-29","420","359","21","0"
"30-34","352","409","17","0"
"35-39","337","345","25","0"
"40-44","368","265","19","0"
"45-49","384","265","25","1"
"50-54","434","392","33","1"
"55-59","390","351","47","0"
"60-64","273","264","54","5"
"65-69","158","180","50","5"
"70-74","177","201","91","14"
"75-79","227","196","103","29"
"80-84","415","264","189","60"
"85-89","380","158","122","48"
"90+","386","107","92","58"

"Datenstand 29.01.2021 20:09:11"
