"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.346,41","4.233","+72","417","+5","184",""
"Segeberg","SE","1.049,15","2.896","+80","104","+1","76",""
"Stormarn","OD","970,82","2.361","+24","241","+3","104",""
"Lübeck","HL","1.011,98","2.198","+10","222","","64",""
"Herzogtum Lauenburg","RZ","1.041,24","2.054","+28","166","+1","64",""
"Kiel","KI","673,00","1.666","+39","157","+3","44",""
"Schleswig-Flensburg","SL","768,40","1.537","+9","67","","23",""
"Flensburg","FL","1.683,72","1.507","+14","97","","29","+1"
"Rendsburg-Eckernförde","RD","547,34","1.493","+31","132","+2","22","+1"
"Ostholstein","OH","711,93","1.428","+26","185","","59",""
"Nordfriesland","NF","798,15","1.321","+5","181","","47",""
"Steinburg","IZ","634,96","834","+16","59","+1","8",""
"Neumünster","NMS","912,10","725","+1","58","","8",""
"Dithmarschen","HEI","419,64","559","+3","48","+2","9",""
"Plön","PLO","362,23","466","","73","","12",""
"-"
"Schleswig-Holstein","SH","872,64","25.278","+358","2.207","+18","753","+2"

"Datenstand 01.04.2021 19:48:09"
