"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.500,13","7.903","+25","754","+2","238",""
"Segeberg","SE","1.934,52","5.362","+22","420","+3","99",""
"Stormarn","OD","1.958,17","4.781","+13","433","+1","137",""
"Kiel","KI","1.931,17","4.766","+26","355","+1","66",""
"Herzogtum Lauenburg","RZ","2.162,42","4.282","+10","282","","77",""
"Lübeck","HL","1.948,92","4.220","+10","290","","75",""
"Rendsburg-Eckernförde","RD","1.152,51","3.159","+11","224","","38","+1"
"Ostholstein","OH","1.338,39","2.684","","259","","68",""
"Schleswig-Flensburg","SL","1.175,70","2.365","+6","101","+1","31",""
"Nordfriesland","NF","1.392,58","2.311","+2","240","","56",""
"Flensburg","FL","2.534,27","2.285","","122","","29",""
"Steinburg","IZ","1.486,11","1.947","+1","167","","22",""
"Neumünster","NMS","2.155,97","1.729","+7","114","","9",""
"Dithmarschen","HEI","1.189,25","1.584","+8","129","","21",""
"Plön","PLO","932,50","1.200","+2","137","","21",""
"-"
"Schleswig-Holstein","SH","1.741,80","50.578","+143","4.027","+8","987","+1"

"Datenstand 24.09.2021 19:43:49"
