"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","115","117","9","0"
"05-09","156","146","4","0"
"10-14","210","186","6","0"
"15-19","348","335","10","0"
"20-24","439","530","17","0"
"25-29","430","507","29","0"
"30-34","423","428","36","0"
"35-39","388","366","21","2"
"40-44","364","357","24","1"
"45-49","366","383","43","3"
"50-54","480","476","45","0"
"55-59","419","472","73","6"
"60-64","286","289","63","8"
"65-69","149","176","68","10"
"70-74","164","140","77","23"
"75-79","173","138","117","31"
"80-84","196","163","145","52"
"85-89","117","63","74","35"
"90+","111","41","54","42"

"Datenstand 11.11.2020 20:34:08"
