"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.371,06","7.495","+41","724","","232",""
"Segeberg","SE","1.857,67","5.149","+23","400","+3","96","+1"
"Stormarn","OD","1.869,30","4.564","+16","412","+1","134",""
"Kiel","KI","1.803,12","4.450","+24","333","+2","64",""
"Herzogtum Lauenburg","RZ","2.080,10","4.119","+23","275","+1","76",""
"Lübeck","HL","1.874,11","4.058","+20","288","","75",""
"Rendsburg-Eckernförde","RD","1.061,30","2.909","+31","215","+1","36",""
"Ostholstein","OH","1.289,03","2.585","+11","249","+1","67",""
"Schleswig-Flensburg","SL","1.136,93","2.287","+4","96","","31",""
"Nordfriesland","NF","1.340,15","2.224","+2","233","+1","56",""
"Flensburg","FL","2.457,74","2.216","+6","121","","29",""
"Steinburg","IZ","1.443,37","1.891","+8","160","","22",""
"Neumünster","NMS","1.990,12","1.596","+21","108","+1","9",""
"Dithmarschen","HEI","1.102,16","1.468","+12","116","","21",""
"Plön","PLO","871,11","1.121","+7","129","","19",""
"-"
"Schleswig-Holstein","SH","1.657,57","48.132","+249","3.859","+11","967","+1"

"Datenstand 08.09.2021 18:45:55"
