"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","71","75","7","0"
"05-09","86","79","4","0"
"10-14","114","109","4","0"
"15-19","190","178","7","0"
"20-24","279","307","10","0"
"25-29","289","302","18","0"
"30-34","252","268","23","0"
"35-39","228","221","13","1"
"40-44","214","210","19","0"
"45-49","215","235","28","3"
"50-54","310","299","37","0"
"55-59","278","308","55","6"
"60-64","185","180","53","8"
"65-69","106","119","56","10"
"70-74","102","94","57","18"
"75-79","133","101","103","27"
"80-84","136","121","117","38"
"85-89","85","45","60","26"
"90+","89","28","33","27"

"Datenstand 24.10.2020 20:16:36"
