"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","631","637","29","1"
"05-09","709","789","12","0"
"10-14","762","904","16","0"
"15-19","1.121","1.176","30","0"
"20-24","1.451","1.495","67","0"
"25-29","1.356","1.370","74","0"
"30-34","1.320","1.490","91","1"
"35-39","1.254","1.329","104","1"
"40-44","1.318","1.210","111","1"
"45-49","1.243","1.118","129","2"
"50-54","1.383","1.441","159","6"
"55-59","1.316","1.347","198","19"
"60-64","819","923","186","20"
"65-69","469","545","192","36"
"70-74","477","481","252","67"
"75-79","509","458","318","112"
"80-84","784","513","466","204"
"85-89","628","309","295","186"
"90+","668","188","209","196"

"Datenstand 12.05.2021 20:37:56"
