"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","262","34","23"
"03.01.2021","201","37","10"
"04.01.2021","260","34","13"
"05.01.2021","538","54","11"
"06.01.2021","533","39","19"
"07.01.2021","478","32","12"
"08.01.2021","523","43","18"
"09.01.2021","407","34","12"
"10.01.2021","141","17","13"
"11.01.2021","259","45","11"
"12.01.2021","403","47","14"
"13.01.2021","491","49","18"
"14.01.2021","421","39","13"
"15.01.2021","412","59","12"
"16.01.2021","352","33","14"
"17.01.2021","202","25","6"
"18.01.2021","236","26","9"
"19.01.2021","469","44","20"
"20.01.2021","484","46","12"
"21.01.2021","497","46","19"
"22.01.2021","459","37","22"
"23.01.2021","439","38","8"
"24.01.2021","157","24","6"
"25.01.2021","163","34","12"
"26.01.2021","545","43","12"
"27.01.2021","463","46","16"
"28.01.2021","383","43","9"
"29.01.2021","347","42","13"
"30.01.2021","261","18","3"
"31.01.2021","178","18","4"
"01.02.2021","130","20","1"
"02.02.2021","365","29","4"
"03.02.2021","340","22","2"
"04.02.2021","328","38","3"
"05.02.2021","261","16","2"
"06.02.2021","268","10","1"
"07.02.2021","107","11","0"
"08.02.2021","140","23","0"
"09.02.2021","310","8","0"

"Datenstand 09.02.2021 21:00:28"
