"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","706,13","2.220","+45","182","+4","63","+5"
"Segeberg","SE","406,47","1.122","+16","47","","34",""
"Lübeck","HL","492,18","1.069","+11","130","+35","19","+1"
"Stormarn","OD","397,62","967","+9","96","+3","13",""
"Nordfriesland","NF","451,94","748","+19","122","+5","21",""
"Herzogtum Lauenburg","RZ","377,16","744","+5","34","+2","19","+3"
"Kiel","KI","293,28","726","+16","83","+2","25",""
"Ostholstein","OH","331,54","665","+17","113","+4","13","+1"
"Rendsburg-Eckernförde","RD","219,96","600","+10","58","+1","8","+1"
"Flensburg","FL","611,15","547","+13","24","+1","11",""
"Schleswig-Flensburg","SL","272,97","546","+4","28","","12",""
"Steinburg","IZ","247,44","325","+9","22","+1","2",""
"Neumünster","NMS","405,10","322","+4","26","","3",""
"Dithmarschen","HEI","214,70","286","+3","15","","4",""
"Plön","PLO","163,24","210","+3","44","","4",""
"-"
"Schleswig-Holstein","SH","383,09","11.097","+184","1.024","+58","251","+11"

"Datenstand 31.01.2021 20:38:40"
