"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.227,12","7.040","+9","702","+3","229",""
"Segeberg","SE","1.742,22","4.829","+20","382","","94",""
"Stormarn","OD","1.747,24","4.266","","388","","129",""
"Kiel","KI","1.587,15","3.917","+17","299","","60",""
"Herzogtum Lauenburg","RZ","1.928,60","3.819","+19","268","","75",""
"Lübeck","HL","1.695,84","3.672","+18","283","","75",""
"Rendsburg-Eckernförde","RD","989,79","2.713","+19","209","+1","35",""
"Ostholstein","OH","1.221,21","2.449","+7","244","","67",""
"Schleswig-Flensburg","SL","1.090,20","2.193","+3","93","","31",""
"Nordfriesland","NF","1.255,19","2.083","+11","226","","54",""
"Flensburg","FL","2.284,73","2.060","+3","117","+2","29",""
"Steinburg","IZ","1.322,01","1.732","+16","150","","21",""
"Neumünster","NMS","1.794,35","1.439","+9","100","","9",""
"Dithmarschen","HEI","954,25","1.271","+41","103","","20",""
"Plön","PLO","777,86","1.001","+4","121","","19","+1"
"-"
"Schleswig-Holstein","SH","1.531,94","44.484","+196","3.685","+6","947","+1"

"Datenstand 21.08.2021 21:01:20"
