"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","128","131","9","0"
"05-09","122","135","2","0"
"10-14","166","177","7","0"
"15-19","330","297","7","0"
"20-24","520","477","14","0"
"25-29","512","454","23","0"
"30-34","434","492","23","0"
"35-39","409","435","32","0"
"40-44","444","326","26","0"
"45-49","488","339","33","1"
"50-54","530","488","52","1"
"55-59","498","462","65","4"
"60-64","323","342","72","5"
"65-69","191","222","85","10"
"70-74","207","234","120","23"
"75-79","280","238","154","50"
"80-84","495","312","253","92"
"85-89","450","198","176","92"
"90+","469","132","127","102"

"Datenstand 08.02.2021 21:40:46"
