"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.038,52","3.265","+35","346","+5","174",""
"Segeberg","SE","695,57","1.920","+35","83","+3","64","+1"
"Lübeck","HL","834,72","1.813","+10","206","+3","63",""
"Stormarn","OD","719,17","1.749","+34","209","+2","91","+4"
"Herzogtum Lauenburg","RZ","772,57","1.524","+20","140","+1","55","+3"
"Kiel","KI","508,99","1.260","+21","120","","40",""
"Schleswig-Flensburg","SL","628,92","1.258","+20","58","","19",""
"Flensburg","FL","1.399,94","1.253","+15","74","+1","24",""
"Nordfriesland","NF","715,38","1.184","+10","166","","41",""
"Ostholstein","OH","581,81","1.167","+21","167","","55",""
"Rendsburg-Eckernförde","RD","414,99","1.132","+21","110","+2","21",""
"Steinburg","IZ","430,16","565","+12","47","+6","7",""
"Neumünster","NMS","660,49","525","","47","","7",""
"Dithmarschen","HEI","290,52","387","","35","","7",""
"Plön","PLO","293,05","377","+3","59","+1","12",""
"-"
"Schleswig-Holstein","SH","669,00","19.379","+257","1.867","+24","680","+8"

"Datenstand 10.03.2021 20:09:52"
