"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","262","34","22"
"03.01.2021","201","37","9"
"04.01.2021","260","34","13"
"05.01.2021","538","54","11"
"06.01.2021","533","39","18"
"07.01.2021","478","32","12"
"08.01.2021","523","43","17"
"09.01.2021","407","34","12"
"10.01.2021","141","17","13"
"11.01.2021","259","45","11"
"12.01.2021","404","46","13"
"13.01.2021","491","47","16"
"14.01.2021","421","39","11"
"15.01.2021","413","60","11"
"16.01.2021","354","32","11"
"17.01.2021","201","23","4"
"18.01.2021","238","26","8"
"19.01.2021","469","43","17"
"20.01.2021","484","45","9"
"21.01.2021","497","44","14"
"22.01.2021","459","35","12"
"23.01.2021","439","37","6"
"24.01.2021","157","23","5"
"25.01.2021","163","33","5"
"26.01.2021","546","38","6"
"27.01.2021","464","44","11"
"28.01.2021","385","33","3"
"29.01.2021","347","34","6"
"30.01.2021","262","13","1"
"31.01.2021","179","16","2"
"01.02.2021","129","14","1"
"02.02.2021","367","21","1"
"03.02.2021","345","14","0"

"Datenstand 03.02.2021 20:42:12"
