"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","284,04","893","+7","142","","47",""
"Stormarn","OD","272,21","662","","59","","35",""
"Segeberg","SE","173,89","480","","47","","7",""
"Kiel","KI","191,48","474","+1","80","","12",""
"Herzogtum Lauenburg","RZ","184,02","363","","51","","18",""
"Rendsburg-Eckernförde","RD","133,08","363","+1","51","","14",""
"Lübeck","HL","136,74","297","","14","","1",""
"Steinburg","IZ","172,82","227","","25","","3",""
"Dithmarschen","HEI","158,40","211","","31","","5",""
"Schleswig-Flensburg","SL","98,49","197","+6","21","","4",""
"Neumünster","NMS","213,87","170","","13","","3",""
"Plön","PLO","130,59","168","","36","","8",""
"Nordfriesland","NF","85,80","142","+1","18","","2",""
"Ostholstein","OH","70,79","142","","17","","0",""
"Flensburg","FL","139,66","125","","8","","3",""
"-"
"Schleswig-Holstein","SH","169,64","4.914","+16","613","","162",""

"Datenstand 03.10.2020 19:40:01"
