"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.621,31","5.125","+54","489","+6","195","+1"
"Segeberg","SE","1.321,55","3.663","+32","144","+1","84",""
"Stormarn","OD","1.241,42","3.031","+89","289","+7","111","+1"
"Herzogtum Lauenburg","RZ","1.401,89","2.776","+30","185","+1","67",""
"Lübeck","HL","1.205,84","2.611","+13","242","+1","68","+1"
"Kiel","KI","908,45","2.242","+41","195","+3","49",""
"Rendsburg-Eckernförde","RD","701,21","1.922","+21","160","","27","+1"
"Ostholstein","OH","907,06","1.819","+49","205","+3","62","+1"
"Schleswig-Flensburg","SL","873,95","1.758","+24","73","+1","25","+1"
"Flensburg","FL","1.833,33","1.653","+2","103","-1","29",""
"Nordfriesland","NF","898,46","1.491","+4","196","+1","49",""
"Steinburg","IZ","893,80","1.171","+27","87","+3","11",""
"Neumünster","NMS","1.143,45","917","+11","70","","8",""
"Dithmarschen","HEI","596,13","794","+13","67","+3","9",""
"Plön","PLO","483,35","622","+10","80","","14",""
"-"
"Schleswig-Holstein","SH","1.088,07","31.595","+420","2.585","+29","808","+6"

"Datenstand 22.04.2021 19:57:39"
