"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","920,83","2.895","+17","297","+2","147",""
"Lübeck","HL","738,96","1.605","+19","191","+5","49","+4"
"Segeberg","SE","538,34","1.486","+34","72","","63",""
"Stormarn","OD","545,65","1.327","+17","151","+1","55","+3"
"Herzogtum Lauenburg","RZ","599,20","1.182","+26","80","","32",""
"Nordfriesland","NF","626,56","1.037","+15","152","+3","35",""
"Ostholstein","OH","493,07","989","+17","156","+3","41","+1"
"Kiel","KI","383,76","950","+16","105","+1","33",""
"Flensburg","FL","1.056,94","946","+23","46","+2","18",""
"Schleswig-Flensburg","SL","468,94","938","+24","46","+1","16",""
"Rendsburg-Eckernförde","RD","309,78","845","+35","89","+1","15",""
"Steinburg","IZ","352,50","463","+8","27","+1","3",""
"Neumünster","NMS","535,94","426","+8","39","+1","7",""
"Dithmarschen","HEI","258,99","345","+1","24","+1","7",""
"Plön","PLO","217,65","280","+16","51","","8",""
"-"
"Schleswig-Holstein","SH","542,48","15.714","+276","1.526","+22","529","+8"

"Datenstand 19.02.2021 20:14:48"
