"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","540,41","1.699","+7","188","+3","48",""
"Stormarn","OD","522,21","1.270","+17","70","+1","45","+2"
"Segeberg","SE","423,86","1.170","+27","89","+4","20",""
"Kiel","KI","328,42","813","+15","111","","15","+1"
"Lübeck","HL","370,17","804","+12","29","","4",""
"Herzogtum Lauenburg","RZ","376,65","743","+10","59","","19",""
"Rendsburg-Eckernförde","RD","262,49","716","+20","73","+1","15",""
"Nordfriesland","NF","313,58","519","+29","31","","2",""
"Dithmarschen","HEI","346,82","462","+8","63","+1","13","+1"
"Schleswig-Flensburg","SL","219,97","440","+9","31","","6",""
"Ostholstein","OH","197,43","396","+28","28","+2","1",""
"Steinburg","IZ","259,62","341","+9","34","","3",""
"Neumünster","NMS","417,68","332","+13","16","+1","3",""
"Plön","PLO","199,77","257","+8","48","","8",""
"Flensburg","FL","279,32","250","+3","10","","3",""
"-"
"Schleswig-Holstein","SH","352,54","10.212","+215","880","+13","205","+4"

"Datenstand 09.11.2020 20:22:24"
