"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","187","198","12","0"
"05-09","254","256","7","0"
"10-14","353","334","9","0"
"15-19","580","580","19","0"
"20-24","693","773","22","0"
"25-29","658","732","37","0"
"30-34","641","646","52","0"
"35-39","616","580","36","2"
"40-44","591","563","39","1"
"45-49","605","605","68","3"
"50-54","725","747","68","0"
"55-59","627","658","99","8"
"60-64","405","436","94","10"
"65-69","220","262","86","12"
"70-74","234","207","122","28"
"75-79","253","205","157","39"
"80-84","293","220","194","72"
"85-89","188","99","101","53"
"90+","206","53","72","48"

"Datenstand 09.12.2020 20:33:36"
