"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.016,25","3.195","+6","339","+1","174","+1"
"Segeberg","SE","664,78","1.835","+23","79","","62",""
"Lübeck","HL","821,83","1.785","","200","","63",""
"Stormarn","OD","687,92","1.673","+13","202","+2","79",""
"Herzogtum Lauenburg","RZ","739,11","1.458","","127","","48",""
"Kiel","KI","493,64","1.222","+12","117","+2","38",""
"Flensburg","FL","1.357,48","1.215","+10","74","","24",""
"Schleswig-Flensburg","SL","606,92","1.214","+6","56","","19",""
"Nordfriesland","NF","704,50","1.166","+1","166","","41",""
"Ostholstein","OH","565,86","1.135","+1","167","+1","54",""
"Rendsburg-Eckernförde","RD","397,03","1.083","+2","106","","21",""
"Steinburg","IZ","414,17","544","","36","","6",""
"Neumünster","NMS","636,58","506","+3","46","","7",""
"Dithmarschen","HEI","288,27","384","+1","33","+1","7",""
"Plön","PLO","282,17","363","+5","58","","12",""
"-"
"Schleswig-Holstein","SH","648,25","18.778","+83","1.806","+7","655","+1"

"Datenstand 07.03.2021 20:23:03"
