"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","183","193","11","0"
"05-09","170","209","3","0"
"10-14","234","255","9","0"
"15-19","448","438","13","0"
"20-24","676","652","23","0"
"25-29","659","630","30","0"
"30-34","598","657","39","0"
"35-39","542","572","44","0"
"40-44","594","461","39","0"
"45-49","628","478","44","1"
"50-54","685","658","71","3"
"55-59","674","614","89","7"
"60-64","423","444","98","9"
"65-69","247","294","110","23"
"70-74","253","281","143","42"
"75-79","342","301","207","70"
"80-84","611","379","329","145"
"85-89","536","241","215","143"
"90+","584","163","155","160"

"Datenstand 26.02.2021 20:11:04"
