"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","800","789","43","1"
"05-09","1.023","1.079","22","0"
"10-14","1.135","1.313","24","0"
"15-19","1.529","1.572","43","0"
"20-24","1.830","1.884","93","0"
"25-29","1.655","1.679","105","0"
"30-34","1.607","1.756","126","2"
"35-39","1.541","1.589","143","2"
"40-44","1.578","1.439","157","1"
"45-49","1.465","1.338","161","3"
"50-54","1.561","1.646","213","15"
"55-59","1.466","1.511","259","22"
"60-64","909","1.049","249","25"
"65-69","520","600","237","42"
"70-74","511","517","298","75"
"75-79","532","480","362","121"
"80-84","821","534","512","224"
"85-89","654","321","343","198"
"90+","689","196","239","214"

"Datenstand 16.08.2021 18:34:29"
