"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","232","263","12","0"
"05-09","229","291","3","0"
"10-14","292","343","10","0"
"15-19","534","560","17","0"
"20-24","783","780","25","0"
"25-29","754","725","38","0"
"30-34","704","773","45","0"
"35-39","635","692","53","0"
"40-44","706","577","56","0"
"45-49","706","575","57","1"
"50-54","786","771","83","3"
"55-59","769","725","102","9"
"60-64","471","512","117","15"
"65-69","276","332","121","25"
"70-74","288","317","166","48"
"75-79","365","322","221","83"
"80-84","643","407","364","172"
"85-89","554","252","232","162"
"90+","608","175","174","175"

"Datenstand 12.03.2021 20:43:37"
