"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","913","929","50","1"
"05-09","1.264","1.318","26","0"
"10-14","1.407","1.614","27","0"
"15-19","1.738","1.818","51","0"
"20-24","2.025","2.132","100","0"
"25-29","1.871","1.908","122","0"
"30-34","1.822","1.992","151","2"
"35-39","1.724","1.750","164","3"
"40-44","1.760","1.594","175","3"
"45-49","1.592","1.484","170","4"
"50-54","1.684","1.758","235","16"
"55-59","1.551","1.607","276","25"
"60-64","965","1.122","260","25"
"65-69","552","632","247","44"
"70-74","530","533","307","77"
"75-79","552","501","375","123"
"80-84","843","550","526","227"
"85-89","666","327","349","200"
"90+","710","201","247","217"

"Datenstand 08.09.2021 18:45:55"
