"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","677","677","33","1"
"05-09","787","860","15","0"
"10-14","825","1.000","21","0"
"15-19","1.199","1.256","34","0"
"20-24","1.534","1.566","72","0"
"25-29","1.425","1.445","83","0"
"30-34","1.389","1.558","102","1"
"35-39","1.331","1.396","111","2"
"40-44","1.372","1.266","125","1"
"45-49","1.319","1.181","146","3"
"50-54","1.441","1.509","183","9"
"55-59","1.374","1.398","219","20"
"60-64","850","971","215","23"
"65-69","485","562","209","40"
"70-74","491","497","270","70"
"75-79","520","470","339","118"
"80-84","799","518","489","214"
"85-89","641","314","318","194"
"90+","674","191","226","204"

"Datenstand 29.05.2021 19:44:08"
