"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","710","713","38","1"
"05-09","843","896","18","0"
"10-14","865","1.058","21","0"
"15-19","1.267","1.326","38","0"
"20-24","1.602","1.649","82","0"
"25-29","1.489","1.497","94","0"
"30-34","1.449","1.613","114","2"
"35-39","1.377","1.445","127","2"
"40-44","1.411","1.313","140","1"
"45-49","1.362","1.232","152","3"
"50-54","1.475","1.554","202","13"
"55-59","1.409","1.434","243","22"
"60-64","873","1.002","239","25"
"65-69","491","573","221","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","810","526","505","223"
"85-89","646","316","337","197"
"90+","678","194","234","212"

"Datenstand 17.07.2021 18:53:32"
