"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","32","21"
"03.01.2021","202","36","7"
"04.01.2021","260","34","11"
"05.01.2021","538","52","10"
"06.01.2021","533","37","16"
"07.01.2021","478","31","11"
"08.01.2021","523","41","15"
"09.01.2021","407","32","8"
"10.01.2021","140","17","10"
"11.01.2021","259","45","8"
"12.01.2021","399","42","9"
"13.01.2021","491","41","9"
"14.01.2021","422","34","9"
"15.01.2021","412","56","7"
"16.01.2021","354","29","7"
"17.01.2021","202","22","2"
"18.01.2021","240","23","3"
"19.01.2021","468","37","5"
"20.01.2021","484","37","6"
"21.01.2021","501","31","2"
"22.01.2021","460","25","4"
"23.01.2021","444","31","1"
"24.01.2021","154","15","3"
"25.01.2021","161","26","2"
"26.01.2021","548","16","2"
"27.01.2021","450","20","1"

"Datenstand 27.01.2021 20:17:07"
