"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","784,06","2.465","+73","234","+6","51","+1"
"Stormarn","OD","717,12","1.744","+15","95","","54",""
"Segeberg","SE","587,98","1.623","+30","116","+1","33",""
"Kiel","KI","503,34","1.246","+20","145","+4","16",""
"Lübeck","HL","553,87","1.203","+23","52","+1","6",""
"Herzogtum Lauenburg","RZ","527,72","1.041","+12","74","","24",""
"Rendsburg-Eckernförde","RD","345,71","943","+20","96","","17",""
"Nordfriesland","NF","404,82","670","+9","51","+1","4",""
"Dithmarschen","HEI","451,92","602","+3","69","","14",""
"Ostholstein","OH","296,64","595","+2","40","","3",""
"Schleswig-Flensburg","SL","259,97","520","+3","38","","7",""
"Neumünster","NMS","569,90","453","+2","32","+1","6",""
"Steinburg","IZ","333,47","438","+4","40","","3",""
"Plön","PLO","251,85","324","+3","57","","8",""
"Flensburg","FL","354,17","317","","16","","3",""
"-"
"Schleswig-Holstein","SH","489,66","14.184","+219","1.155","+14","249","+1"

"Datenstand 28.11.2020 20:17:47"
