"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","92","93","8","0"
"05-09","121","108","4","0"
"10-14","156","144","4","0"
"15-19","274","249","8","0"
"20-24","350","418","14","0"
"25-29","360","392","23","0"
"30-34","325","332","27","0"
"35-39","302","291","18","2"
"40-44","288","278","19","1"
"45-49","288","313","36","3"
"50-54","381","388","37","0"
"55-59","341","379","61","6"
"60-64","225","240","57","8"
"65-69","124","143","62","10"
"70-74","125","114","62","21"
"75-79","155","118","109","30"
"80-84","174","144","131","41"
"85-89","102","54","63","28"
"90+","103","32","43","33"

"Datenstand 02.11.2020 20:03:40"
