"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","328","368","18","1"
"05-09","340","445","5","0"
"10-14","403","471","12","0"
"15-19","675","710","20","0"
"20-24","981","983","32","0"
"25-29","939","926","44","0"
"30-34","886","989","52","1"
"35-39","784","869","72","0"
"40-44","900","766","67","0"
"45-49","855","737","72","2"
"50-54","965","983","104","3"
"55-59","938","906","124","11"
"60-64","569","643","130","17"
"65-69","336","386","142","29"
"70-74","352","363","194","55"
"75-79","401","366","243","90"
"80-84","687","442","398","185"
"85-89","583","273","259","173"
"90+","625","176","181","180"

"Datenstand 30.03.2021 20:39:10"
