"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","559","573","22","1"
"05-09","618","696","10","0"
"10-14","657","786","15","0"
"15-19","1.005","1.067","29","0"
"20-24","1.328","1.369","54","0"
"25-29","1.259","1.276","65","0"
"30-34","1.225","1.389","79","1"
"35-39","1.143","1.245","90","1"
"40-44","1.218","1.121","102","1"
"45-49","1.143","1.033","115","2"
"50-54","1.289","1.352","143","5"
"55-59","1.232","1.232","177","18"
"60-64","762","871","168","20"
"65-69","440","506","181","34"
"70-74","451","451","227","63"
"75-79","491","436","299","106"
"80-84","763","500","449","195"
"85-89","625","302","286","180"
"90+","661","187","201","194"

"Datenstand 29.04.2021 18:49:56"
