"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.894,64","5.989","+27","624","+2","216","+1"
"Segeberg","SE","1.516,01","4.202","+7","258","+5","91",""
"Stormarn","OD","1.523,62","3.720","+18","342","","122","+1"
"Herzogtum Lauenburg","RZ","1.695,29","3.357","+9","227","+1","69",""
"Lübeck","HL","1.429,36","3.095","+6","259","","74",""
"Kiel","KI","1.239,09","3.058","+14","256","+1","54",""
"Rendsburg-Eckernförde","RD","859,91","2.357","+8","201","+2","34",""
"Ostholstein","OH","1.106,52","2.219","+4","236","","66","+1"
"Schleswig-Flensburg","SL","975,86","1.963","+2","85","","30",""
"Flensburg","FL","1.949,78","1.758","+2","109","","29",""
"Nordfriesland","NF","1.048,50","1.740","+6","206","","53",""
"Steinburg","IZ","1.131,95","1.483","+2","128","","19","+2"
"Neumünster","NMS","1.420,27","1.139","","86","","9",""
"Dithmarschen","HEI","752,29","1.002","","87","","15",""
"Plön","PLO","621,67","800","+3","100","","17",""
"-"
"Schleswig-Holstein","SH","1.304,58","37.882","+108","3.204","+11","898","+5"

"Datenstand 28.05.2021 19:00:27"
