"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.880,40","5.944","+9","618","","215",""
"Segeberg","SE","1.510,96","4.188","+6","249","+5","91",""
"Stormarn","OD","1.512,56","3.693","+16","340","+1","121","+2"
"Herzogtum Lauenburg","RZ","1.685,70","3.338","+23","226","+1","69",""
"Lübeck","HL","1.421,51","3.078","+3","258","","74",""
"Kiel","KI","1.230,18","3.036","+10","255","","54",""
"Rendsburg-Eckernförde","RD","856,26","2.347","+8","199","+1","34","+1"
"Ostholstein","OH","1.104,52","2.215","+9","236","","65",""
"Schleswig-Flensburg","SL","974,37","1.960","+4","85","","30",""
"Flensburg","FL","1.944,23","1.753","+4","109","+1","29",""
"Nordfriesland","NF","1.041,87","1.729","","206","","53","+1"
"Steinburg","IZ","1.128,13","1.478","+2","128","","17",""
"Neumünster","NMS","1.417,78","1.137","+1","84","","9",""
"Dithmarschen","HEI","751,54","1.001","+9","87","","15",""
"Plön","PLO","619,34","797","+2","100","","17",""
"-"
"Schleswig-Holstein","SH","1.298,10","37.694","+106","3.180","+9","893","+4"

"Datenstand 26.05.2021 19:04:23"
