"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","936,41","2.944","+5","301","+3","151","+4"
"Lübeck","HL","755,53","1.641","+14","193","+1","54","+4"
"Segeberg","SE","555,01","1.532","+15","73","+1","62","-1"
"Stormarn","OD","556,34","1.353","+2","154","+2","59","+4"
"Herzogtum Lauenburg","RZ","613,90","1.211","+11","89","+9","34","+2"
"Nordfriesland","NF","637,44","1.055","+3","154","+1","35",""
"Ostholstein","OH","506,53","1.016","+3","162","+5","45","+4"
"Flensburg","FL","1.112,80","996","+12","57","+4","22",""
"Schleswig-Flensburg","SL","486,44","973","+2","48","","16",""
"Kiel","KI","393,06","973","+2","105","","33",""
"Rendsburg-Eckernförde","RD","319,68","872","+8","91","+2","16","+1"
"Steinburg","IZ","366,21","481","+10","27","","3",""
"Neumünster","NMS","552,29","439","+7","40","+1","7",""
"Dithmarschen","HEI","258,99","345","-1","24","","7",""
"Plön","PLO","230,09","296","+1","52","","9",""
"-"
"Schleswig-Holstein","SH","556,73","16.127","+94","1.570","+29","553","+18"

"Datenstand 22.02.2021 19:57:37"
