"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.973,72","6.239","+8","662","","226",""
"Segeberg","SE","1.561,83","4.329","+1","365","","93",""
"Stormarn","OD","1.588,33","3.878","+1","354","","127",""
"Herzogtum Lauenburg","RZ","1.737,21","3.440","","256","","73",""
"Lübeck","HL","1.474,62","3.193","+2","260","","74",""
"Kiel","KI","1.279,20","3.157","","270","","58",""
"Rendsburg-Eckernförde","RD","889,46","2.438","+2","205","","35",""
"Ostholstein","OH","1.125,97","2.258","","237","","67",""
"Schleswig-Flensburg","SL","987,79","1.987","","88","","31",""
"Nordfriesland","NF","1.093,70","1.815","+1","210","","54",""
"Flensburg","FL","1.971,96","1.778","+3","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.462,67","1.173","+2","89","","9",""
"Dithmarschen","HEI","765,81","1.020","","91","","20",""
"Plön","PLO","636,43","819","","107","","18",""
"-"
"Schleswig-Holstein","SH","1.344,04","39.028","+20","3.445","","934",""

"Datenstand 10.07.2021 19:34:11"
