"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","670,50","2.108","+102","173","+6","55","+3"
"Segeberg","SE","393,79","1.087","+26","39","","32","+2"
"Lübeck","HL","457,65","994","","86","","17",""
"Stormarn","OD","385,70","938","+19","88","+8","13","+3"
"Herzogtum Lauenburg","RZ","362,97","716","+28","32","+5","16",""
"Nordfriesland","NF","431,40","714","+15","111","+3","18","+2"
"Kiel","KI","281,97","698","+17","77","","24","+1"
"Ostholstein","OH","308,60","619","+14","106","+3","11",""
"Rendsburg-Eckernförde","RD","213,73","583","+6","55","","7","+2"
"Flensburg","FL","587,68","526","+14","22","+1","11","+1"
"Schleswig-Flensburg","SL","260,97","522","+25","28","+3","7",""
"Steinburg","IZ","236,78","311","+3","20","","1",""
"Neumünster","NMS","388,74","309","+7","25","","3",""
"Dithmarschen","HEI","209,44","279","+11","15","-1","4","+1"
"Plön","PLO","157,80","203","+4","43","","4",""
"-"
"Schleswig-Holstein","SH","366,17","10.607","+291","920","+28","223","+15"

"Datenstand 29.01.2021 20:09:11"
