"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.064,20","6.525","+32","676","+1","227",""
"Segeberg","SE","1.624,61","4.503","+16","372","","94",""
"Stormarn","OD","1.643,62","4.013","+16","363","","129",""
"Herzogtum Lauenburg","RZ","1.783,67","3.532","+9","261","+1","75",""
"Lübeck","HL","1.562,83","3.384","+28","272","+2","75",""
"Kiel","KI","1.359,84","3.356","+16","279","+1","59",""
"Rendsburg-Eckernförde","RD","915,73","2.510","+3","206","","35",""
"Ostholstein","OH","1.170,84","2.348","+17","240","","67",""
"Schleswig-Flensburg","SL","1.015,63","2.043","+7","88","","31",""
"Nordfriesland","NF","1.156,97","1.920","+7","218","","54",""
"Flensburg","FL","2.041,83","1.841","+10","111","","29",""
"Steinburg","IZ","1.193,01","1.563","+7","144","","21",""
"Neumünster","NMS","1.573,64","1.262","+17","94","","9",""
"Dithmarschen","HEI","807,85","1.076","+7","93","","20",""
"Plön","PLO","673,73","867","+16","109","","18",""
"-"
"Schleswig-Holstein","SH","1.403,11","40.743","+208","3.526","+5","943",""

"Datenstand 03.08.2021 19:14:34"
