"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","72","74","4","0"
"05-09","72","64","1","0"
"10-14","108","101","5","0"
"15-19","211","222","4","0"
"20-24","345","328","9","0"
"25-29","359","293","18","0"
"30-34","290","344","15","0"
"35-39","270","293","22","0"
"40-44","293","209","14","0"
"45-49","308","220","17","0"
"50-54","346","319","22","1"
"55-59","312","273","34","0"
"60-64","227","214","37","3"
"65-69","125","149","36","4"
"70-74","144","164","68","10"
"75-79","178","158","79","19"
"80-84","337","209","139","41"
"85-89","300","135","86","33"
"90+","311","89","68","30"

"Datenstand 23.01.2021 20:25:40"
