"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","245,24","771","+1","137","","47",""
"Stormarn","OD","231,50","563","+4","54","","35",""
"Kiel","KI","179,76","445","+3","79","","11",""
"Segeberg","SE","153,24","423","+2","45","","7",""
"Rendsburg-Eckernförde","RD","122,45","334","-1","51","-1","14",""
"Herzogtum Lauenburg","RZ","162,22","320","-1","51","","18",""
"Lübeck","HL","108,20","235","+1","11","","1",""
"Steinburg","IZ","153,03","201","","25","","3",""
"Schleswig-Flensburg","SL","89,99","180","","21","","4",""
"Dithmarschen","HEI","126,12","168","","27","","5",""
"Plön","PLO","119,71","154","","35","","8",""
"Neumünster","NMS","157,26","125","+1","10","","3",""
"Nordfriesland","NF","67,07","111","","16","","2",""
"Ostholstein","OH","47,86","96","","14","","0",""
"Flensburg","FL","90,50","81","","6","","3",""
"-"
"Schleswig-Holstein","SH","145,23","4.207","+10","582","-1","161",""

"Datenstand 10.09.2020 19:16:46"
