"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","290,08","912","+6","144","-1","47",""
"Stormarn","OD","281,25","684","+5","60","","35",""
"Segeberg","SE","178,60","493","","47","","7",""
"Kiel","KI","193,90","480","+1","80","","12",""
"Rendsburg-Eckernförde","RD","137,48","375","+6","53","+1","14",""
"Herzogtum Lauenburg","RZ","188,07","371","+3","52","+1","18",""
"Lübeck","HL","145,95","317","+6","14","","1",""
"Steinburg","IZ","178,92","235","+2","25","","3",""
"Dithmarschen","HEI","176,41","235","+2","33","","5",""
"Schleswig-Flensburg","SL","102,49","205","+5","21","","4",""
"Neumünster","NMS","216,39","172","","13","","3",""
"Plön","PLO","132,14","170","+1","36","","8",""
"Ostholstein","OH","74,78","150","+5","17","","0",""
"Nordfriesland","NF","90,03","149","","19","","2",""
"Flensburg","FL","143,01","128","+3","8","","3",""
"-"
"Schleswig-Holstein","SH","175,23","5.076","+45","622","+1","162",""

"Datenstand 07.10.2020 20:56:36"
