"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.867,11","5.902","+43","616","+1","213",""
"Segeberg","SE","1.499,05","4.155","+12","240","+2","91","+1"
"Stormarn","OD","1.495,36","3.651","+10","335","","118",""
"Herzogtum Lauenburg","RZ","1.665,50","3.298","+10","225","+1","69",""
"Lübeck","HL","1.406,27","3.045","+22","258","","73",""
"Kiel","KI","1.215,59","3.000","+18","251","+2","53",""
"Rendsburg-Eckernförde","RD","844,59","2.315","+23","194","","32",""
"Ostholstein","OH","1.092,56","2.191","+15","236","+1","65",""
"Schleswig-Flensburg","SL","969,89","1.951","+4","84","","30",""
"Flensburg","FL","1.936,47","1.746","","108","","29",""
"Nordfriesland","NF","1.035,85","1.719","+1","206","","52",""
"Steinburg","IZ","1.117,45","1.464","+10","129","+2","17",""
"Neumünster","NMS","1.407,80","1.129","","85","","9",""
"Dithmarschen","HEI","739,53","985","+1","86","","13",""
"Plön","PLO","612,34","788","+3","100","","17",""
"-"
"Schleswig-Holstein","SH","1.285,88","37.339","+172","3.153","+9","881","+1"

"Datenstand 21.05.2021 19:08:57"
