"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.295,14","7.255","+29","715","+4","229",""
"Segeberg","SE","1.810,41","5.018","+29","389","+1","94",""
"Stormarn","OD","1.818,10","4.439","+18","401","+1","133",""
"Kiel","KI","1.705,47","4.209","+53","318","+1","63",""
"Herzogtum Lauenburg","RZ","1.999,81","3.960","+36","271","","75",""
"Lübeck","HL","1.797,90","3.893","+39","287","","75",""
"Rendsburg-Eckernförde","RD","1.018,61","2.792","+16","212","","36",""
"Ostholstein","OH","1.253,12","2.513","+12","245","","67",""
"Schleswig-Flensburg","SL","1.116,55","2.246","+7","95","+1","31",""
"Nordfriesland","NF","1.305,20","2.166","+7","231","","55",""
"Flensburg","FL","2.384,54","2.150","+13","120","","29",""
"Steinburg","IZ","1.379,25","1.807","+8","155","+4","22","+1"
"Neumünster","NMS","1.921,54","1.541","+16","105","","9",""
"Dithmarschen","HEI","1.034,59","1.378","+22","109","+1","20",""
"Plön","PLO","828,37","1.066","+6","124","+1","19",""
"-"
"Schleswig-Holstein","SH","1.599,06","46.433","+311","3.777","+14","957","+1"

"Datenstand 31.08.2021 18:35:32"
