"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.437,51","4.544","+48","448","+3","186","+1"
"Segeberg","SE","1.164,25","3.227","+45","115","+3","78",""
"Stormarn","OD","1.053,83","2.573","+37","261","+6","108","+1"
"Lübeck","HL","1.102,39","2.387","+58","228","-1","67","+2"
"Herzogtum Lauenburg","RZ","1.169,08","2.315","+46","174","+4","66",""
"Kiel","KI","752,04","1.856","+19","168","","47",""
"Rendsburg-Eckernförde","RD","605,99","1.661","+19","143","+3","23",""
"Schleswig-Flensburg","SL","791,92","1.593","+15","71","+1","23",""
"Flensburg","FL","1.757,91","1.585","+8","102","","29",""
"Ostholstein","OH","766,43","1.537","+22","192","+2","60",""
"Nordfriesland","NF","830,97","1.379","+6","188","-2","47",""
"Steinburg","IZ","717,49","940","+10","65","+1","9",""
"Neumünster","NMS","1.032,47","828","+20","63","+1","8",""
"Dithmarschen","HEI","451,98","602","","55","","9",""
"Plön","PLO","397,09","511","+7","76","","14",""
"-"
"Schleswig-Holstein","SH","948,35","27.538","+360","2.349","+21","774","+4"

"Datenstand 09.04.2021 20:30:19"
