"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.168,61","3.674","+19","380","+1","179",""
"Segeberg","SE","843,74","2.329","+5","89","","69",""
"Stormarn","OD","829,37","2.017","+8","222","+1","101",""
"Lübeck","HL","908,85","1.974","+11","213","","64",""
"Herzogtum Lauenburg","RZ","889,67","1.755","","153","","61",""
"Kiel","KI","578,88","1.433","+6","133","","42",""
"Schleswig-Flensburg","SL","707,41","1.415","+3","65","","22",""
"Flensburg","FL","1.532,89","1.372","+10","86","+1","28","+1"
"Rendsburg-Eckernförde","RD","472,92","1.290","+2","122","+2","21",""
"Ostholstein","OH","639,14","1.282","+9","177","+1","57",""
"Nordfriesland","NF","762,51","1.262","+2","174","","44",""
"Steinburg","IZ","492,59","647","+9","49","","7",""
"Neumünster","NMS","802,65","638","+1","55","","7",""
"Dithmarschen","HEI","359,58","479","+5","39","","7",""
"Plön","PLO","325,70","419","+2","70","+1","12",""
"-"
"Schleswig-Holstein","SH","759,00","21.986","+92","2.027","+7","721","+1"

"Datenstand 21.03.2021 20:27:31"
