"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.001,56","6.327","+18","667","","226",""
"Segeberg","SE","1.582,39","4.386","+13","366","","93",""
"Stormarn","OD","1.613,72","3.940","+2","358","","127",""
"Herzogtum Lauenburg","RZ","1.753,87","3.473","+8","258","","74","+1"
"Lübeck","HL","1.505,57","3.260","+8","263","","74",""
"Kiel","KI","1.305,54","3.222","+13","273","+1","58",""
"Rendsburg-Eckernförde","RD","897,85","2.461","+2","205","","35",""
"Ostholstein","OH","1.148,41","2.303","+9","239","+1","67",""
"Schleswig-Flensburg","SL","999,22","2.010","+2","88","","31",""
"Nordfriesland","NF","1.115,39","1.851","+5","211","+1","54",""
"Flensburg","FL","1.988,60","1.793","+4","111","+1","29",""
"Steinburg","IZ","1.157,14","1.516","+2","141","","20",""
"Neumünster","NMS","1.498,83","1.202","+2","91","+1","9",""
"Dithmarschen","HEI","780,82","1.040","+1","91","","20",""
"Plön","PLO","641,87","826","+1","108","+1","18",""
"-"
"Schleswig-Holstein","SH","1.364,09","39.610","+90","3.470","+6","935","+1"

"Datenstand 23.07.2021 18:40:40"
