"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.464,70","7.791","+10","745","+3","238","+1"
"Segeberg","SE","1.906,38","5.284","+5","414","+1","99",""
"Stormarn","OD","1.934,01","4.722","+17","430","+2","137",""
"Kiel","KI","1.893,89","4.674","+24","348","+2","65",""
"Herzogtum Lauenburg","RZ","2.139,69","4.237","+6","281","","77",""
"Lübeck","HL","1.930,91","4.181","+10","290","+1","75",""
"Rendsburg-Eckernförde","RD","1.125,51","3.085","+4","224","+3","37","+1"
"Ostholstein","OH","1.325,43","2.658","","255","","68",""
"Schleswig-Flensburg","SL","1.165,76","2.345","+2","100","","31",""
"Nordfriesland","NF","1.384,75","2.298","","239","","56",""
"Flensburg","FL","2.505,43","2.259","+1","122","","29",""
"Steinburg","IZ","1.480,77","1.940","+2","162","","22",""
"Neumünster","NMS","2.106,09","1.689","+7","114","+2","9",""
"Dithmarschen","HEI","1.167,48","1.555","","128","+1","21",""
"Plön","PLO","919,29","1.183","+6","133","+2","21","+1"
"-"
"Schleswig-Holstein","SH","1.718,49","49.901","+94","3.985","+17","985","+3"

"Datenstand 20.09.2021 19:19:30"
