"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.072,55","3.372","+54","355","","177","+1"
"Segeberg","SE","739,77","2.042","+44","84","+2","64",""
"Lübeck","HL","856,36","1.860","+10","210","+2","64",""
"Stormarn","OD","753,30","1.832","+34","211","","95",""
"Herzogtum Lauenburg","RZ","816,67","1.611","+29","143","","59","+1"
"Kiel","KI","530,00","1.312","+7","121","","40",""
"Schleswig-Flensburg","SL","654,92","1.310","+15","59","+1","21","+1"
"Flensburg","FL","1.425,63","1.276","+6","76","+1","24",""
"Nordfriesland","NF","729,88","1.208","+10","169","","43",""
"Ostholstein","OH","599,76","1.203","+10","168","+1","55",""
"Rendsburg-Eckernförde","RD","428,56","1.169","+14","113","+1","21",""
"Steinburg","IZ","454,52","597","+13","47","","7",""
"Neumünster","NMS","699,49","556","","49","","7",""
"Dithmarschen","HEI","307,03","409","+10","38","","7",""
"Plön","PLO","304,71","392","+7","64","+1","12",""
"-"
"Schleswig-Holstein","SH","695,58","20.149","+263","1.907","+9","696","+3"

"Datenstand 13.03.2021 20:08:31"
