"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","827","815","44","1"
"05-09","1.097","1.154","25","0"
"10-14","1.220","1.418","27","0"
"15-19","1.585","1.632","45","0"
"20-24","1.891","1.952","95","0"
"25-29","1.719","1.731","106","0"
"30-34","1.651","1.804","129","2"
"35-39","1.582","1.626","147","2"
"40-44","1.620","1.472","163","1"
"45-49","1.492","1.378","164","3"
"50-54","1.601","1.681","221","15"
"55-59","1.485","1.533","263","23"
"60-64","919","1.066","251","25"
"65-69","526","612","239","42"
"70-74","516","521","298","75"
"75-79","537","486","368","121"
"80-84","823","539","514","224"
"85-89","658","323","345","198"
"90+","692","199","243","215"

"Datenstand 22.08.2021 18:37:20"
