"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","805,05","2.531","","241","","99",""
"Lübeck","HL","599,45","1.302","+7","164","+3","28","+2"
"Segeberg","SE","453,21","1.251","+7","53","","46",""
"Stormarn","OD","456,42","1.110","+20","116","","24",""
"Herzogtum Lauenburg","RZ","471,96","931","+6","49","","24",""
"Nordfriesland","NF","496,66","822","+15","132","+2","28","+1"
"Kiel","KI","329,63","816","+8","95","+1","28",""
"Ostholstein","OH","404,33","811","+3","136","","23","+1"
"Flensburg","FL","760,86","681","+5","33","+2","14",""
"Schleswig-Flensburg","SL","337,46","675","+10","35","+2","14",""
"Rendsburg-Eckernförde","RD","244,89","668","+5","74","","12",""
"Steinburg","IZ","292,36","384","","22","","2",""
"Neumünster","NMS","465,48","370","","32","","6",""
"Dithmarschen","HEI","228,96","305","+2","16","","6",""
"Plön","PLO","181,89","234","+4","47","","6",""
"-"
"Schleswig-Holstein","SH","445,02","12.891","+92","1.245","+10","360","+4"

"Datenstand 07.02.2021 20:40:40"
