"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","179","191","12","0"
"05-09","246","248","5","0"
"10-14","335","321","9","0"
"15-19","552","538","17","0"
"20-24","655","747","22","0"
"25-29","623","714","35","0"
"30-34","612","611","51","0"
"35-39","585","548","34","2"
"40-44","562","533","36","1"
"45-49","575","577","65","3"
"50-54","689","700","66","0"
"55-59","599","635","96","7"
"60-64","392","418","87","10"
"65-69","212","249","83","12"
"70-74","226","193","118","27"
"75-79","240","195","153","38"
"80-84","274","206","185","67"
"85-89","168","88","95","51"
"90+","173","47","62","47"

"Datenstand 06.12.2020 20:22:05"
