"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.595,04","8.203","+12","775","","240",""
"Segeberg","SE","2.004,15","5.555","+4","437","+1","100",""
"Stormarn","OD","2.057,29","5.023","","448","","139",""
"Kiel","KI","2.023,55","4.994","+28","371","+1","67",""
"Herzogtum Lauenburg","RZ","2.196,25","4.349","","286","","77",""
"Lübeck","HL","1.997,41","4.325","","293","","75",""
"Rendsburg-Eckernförde","RD","1.199,94","3.289","","232","","39",""
"Ostholstein","OH","1.373,80","2.755","+2","260","+1","67",""
"Schleswig-Flensburg","SL","1.210,50","2.435","+2","104","","32",""
"Nordfriesland","NF","1.415,48","2.349","+2","248","","56",""
"Flensburg","FL","2.603,03","2.347","+1","124","","29",""
"Steinburg","IZ","1.538,02","2.015","","171","","22",""
"Neumünster","NMS","2.268,19","1.819","+1","120","","10",""
"Dithmarschen","HEI","1.232,80","1.642","","135","","22",""
"Plön","PLO","969,80","1.248","","143","","22",""
"-"
"Schleswig-Holstein","SH","1.802,76","52.348","+52","4.147","+3","997",""

"Datenstand 10.10.2021 19:24:19"
