"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","943","965","51","1"
"05-09","1.329","1.387","26","0"
"10-14","1.496","1.699","30","0"
"15-19","1.802","1.919","52","0"
"20-24","2.085","2.191","104","0"
"25-29","1.932","1.988","134","0"
"30-34","1.870","2.076","158","2"
"35-39","1.778","1.792","170","3"
"40-44","1.804","1.658","181","4"
"45-49","1.643","1.519","175","4"
"50-54","1.725","1.800","242","16"
"55-59","1.590","1.639","285","25"
"60-64","975","1.147","268","26"
"65-69","559","647","252","46"
"70-74","542","540","311","77"
"75-79","557","511","380","126"
"80-84","857","563","538","230"
"85-89","681","337","352","203"
"90+","727","206","252","218"

"Datenstand 17.09.2021 19:07:46"
