"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.939,56","6.131","+6","643","","221",""
"Segeberg","SE","1.544,15","4.280","+3","308","","93",""
"Stormarn","OD","1.567,85","3.828","+7","351","","125",""
"Herzogtum Lauenburg","RZ","1.721,55","3.409","+6","251","+2","72",""
"Lübeck","HL","1.456,15","3.153","+1","260","","74",""
"Kiel","KI","1.260,97","3.112","","262","","55",""
"Rendsburg-Eckernförde","RD","879,25","2.410","+3","204","","35",""
"Ostholstein","OH","1.119,98","2.246","+2","237","","66",""
"Schleswig-Flensburg","SL","985,30","1.982","+2","87","","30",""
"Nordfriesland","NF","1.083,45","1.798","+2","209","","54",""
"Flensburg","FL","1.960,87","1.768","","109","","29",""
"Steinburg","IZ","1.143,40","1.498","","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20",""
"Plön","PLO","627,11","807","+1","104","+1","17",""
"-"
"Schleswig-Holstein","SH","1.328,75","38.584","+33","3.340","+3","919",""

"Datenstand 12.06.2021 19:53:37"
