"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","205","225","12","0"
"05-09","200","241","3","0"
"10-14","257","304","9","0"
"15-19","488","497","14","0"
"20-24","718","723","24","0"
"25-29","705","675","36","0"
"30-34","652","718","43","0"
"35-39","587","627","51","0"
"40-44","644","515","47","0"
"45-49","669","520","48","1"
"50-54","732","712","77","3"
"55-59","716","662","94","9"
"60-64","444","474","106","12"
"65-69","259","310","118","25"
"70-74","268","297","158","46"
"75-79","355","310","215","79"
"80-84","627","398","342","157"
"85-89","545","245","221","150"
"90+","601","170","168","165"

"Datenstand 05.03.2021 20:33:08"
