"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.351,13","7.432","+18","721","+3","232","+2"
"Segeberg","SE","1.840,71","5.102","+10","395","+3","95",""
"Stormarn","OD","1.853,73","4.526","+14","408","+1","134","+1"
"Kiel","KI","1.780,43","4.394","+28","328","+2","64","+1"
"Herzogtum Lauenburg","RZ","2.052,33","4.064","+18","274","+1","76",""
"Lübeck","HL","1.852,86","4.012","+30","288","+1","75",""
"Rendsburg-Eckernförde","RD","1.044,15","2.862","+9","214","","36",""
"Ostholstein","OH","1.277,06","2.561","+1","248","","67",""
"Schleswig-Flensburg","SL","1.131,96","2.277","+4","95","","31",""
"Nordfriesland","NF","1.334,73","2.215","+7","232","","56",""
"Flensburg","FL","2.436,67","2.197","+1","120","-1","29",""
"Steinburg","IZ","1.426,58","1.869","+6","156","","22",""
"Neumünster","NMS","1.953,96","1.567","+3","107","+1","9",""
"Dithmarschen","HEI","1.085,64","1.446","+3","116","+1","21","+1"
"Plön","PLO","857,90","1.104","+20","127","+2","19",""
"-"
"Schleswig-Holstein","SH","1.640,21","47.628","+172","3.829","+14","966","+5"

"Datenstand 06.09.2021 18:33:41"
