"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","897","909","48","1"
"05-09","1.221","1.282","25","0"
"10-14","1.375","1.585","27","0"
"15-19","1.713","1.781","50","0"
"20-24","1.997","2.101","98","0"
"25-29","1.846","1.861","119","0"
"30-34","1.795","1.948","145","2"
"35-39","1.692","1.727","155","2"
"40-44","1.736","1.571","170","1"
"45-49","1.568","1.456","168","4"
"50-54","1.662","1.741","234","16"
"55-59","1.537","1.593","273","24"
"60-64","960","1.108","258","25"
"65-69","544","628","245","43"
"70-74","527","530","304","77"
"75-79","549","498","372","123"
"80-84","840","546","527","227"
"85-89","661","326","347","199"
"90+","705","200","247","216"

"Datenstand 04.09.2021 18:47:33"
