"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.014,66","3.190","+19","289","+9","60",""
"Stormarn","OD","934,23","2.272","+11","116","+1","66","+1"
"Segeberg","SE","718,39","1.983","+10","130","+1","42",""
"Lübeck","HL","821,37","1.784","+59","69","","10",""
"Kiel","KI","697,24","1.726","+15","178","+7","22",""
"Herzogtum Lauenburg","RZ","671,18","1.324","+8","81","","25",""
"Rendsburg-Eckernförde","RD","456,79","1.246","+13","114","","17",""
"Dithmarschen","HEI","578,03","770","+7","83","+2","14",""
"Nordfriesland","NF","453,15","750","+8","57","","4",""
"Ostholstein","OH","370,92","744","+40","51","+2","6","+1"
"Schleswig-Flensburg","SL","303,46","607","+13","43","","7",""
"Neumünster","NMS","732,20","582","+9","35","","6",""
"Steinburg","IZ","414,93","545","+9","46","","4",""
"Plön","PLO","331,14","426","+5","62","+3","8",""
"Flensburg","FL","426,80","382","+15","19","+1","4",""
"-"
"Schleswig-Holstein","SH","632,82","18.331","+241","1.373","+26","295","+2"

"Datenstand 14.12.2020 20:30:22"
