"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","898","910","48","1"
"05-09","1.224","1.285","25","0"
"10-14","1.379","1.585","27","0"
"15-19","1.715","1.785","50","0"
"20-24","1.999","2.101","98","0"
"25-29","1.850","1.864","119","0"
"30-34","1.796","1.954","146","2"
"35-39","1.696","1.729","155","2"
"40-44","1.737","1.571","170","1"
"45-49","1.571","1.458","168","4"
"50-54","1.664","1.742","234","16"
"55-59","1.537","1.594","273","24"
"60-64","961","1.109","258","25"
"65-69","545","628","246","44"
"70-74","526","530","304","77"
"75-79","549","498","372","123"
"80-84","841","547","527","227"
"85-89","661","326","347","199"
"90+","705","200","247","216"

"Datenstand 05.09.2021 18:37:02"
