"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","166","177","11","0"
"05-09","151","191","2","0"
"10-14","205","227","8","0"
"15-19","411","397","10","0"
"20-24","629","603","19","0"
"25-29","623","568","27","0"
"30-34","559","607","36","0"
"35-39","496","527","40","0"
"40-44","552","421","33","0"
"45-49","596","448","40","1"
"50-54","642","609","62","2"
"55-59","632","576","81","6"
"60-64","397","418","91","7"
"65-69","228","273","101","20"
"70-74","240","268","134","37"
"75-79","330","285","189","62"
"80-84","580","367","307","129"
"85-89","522","232","203","129"
"90+","564","160","145","142"

"Datenstand 21.02.2021 20:10:34"
