"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.991,12","6.294","+7","667","","226",""
"Segeberg","SE","1.575,90","4.368","+5","366","","93",""
"Stormarn","OD","1.610,04","3.931","+7","358","","127",""
"Herzogtum Lauenburg","RZ","1.749,33","3.464","+5","258","","73",""
"Lübeck","HL","1.499,10","3.246","+7","263","","74",""
"Kiel","KI","1.295,82","3.198","+8","271","","58",""
"Rendsburg-Eckernförde","RD","897,12","2.459","-1","205","-1","35",""
"Ostholstein","OH","1.141,42","2.289","+5","238","","67",""
"Schleswig-Flensburg","SL","996,24","2.004","+2","88","","31",""
"Nordfriesland","NF","1.108,16","1.839","+1","210","","54",""
"Flensburg","FL","1.979,73","1.785","+1","110","","29",""
"Steinburg","IZ","1.154,08","1.512","+3","141","","20",""
"Neumünster","NMS","1.492,59","1.197","+3","89","","9",""
"Dithmarschen","HEI","777,07","1.035","+3","91","","20",""
"Plön","PLO","641,10","825","","107","","18",""
"-"
"Schleswig-Holstein","SH","1.358,44","39.446","+56","3.462","-1","934",""

"Datenstand 21.07.2021 18:11:38"
