"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","707","702","35","1"
"05-09","829","889","18","0"
"10-14","854","1.053","21","0"
"15-19","1.235","1.299","35","0"
"20-24","1.569","1.603","80","0"
"25-29","1.468","1.474","93","0"
"30-34","1.438","1.597","111","2"
"35-39","1.364","1.432","125","2"
"40-44","1.402","1.299","138","1"
"45-49","1.349","1.216","152","3"
"50-54","1.465","1.542","201","11"
"55-59","1.396","1.421","243","21"
"60-64","861","993","237","24"
"65-69","490","570","220","40"
"70-74","501","503","291","72"
"75-79","525","472","355","121"
"80-84","807","524","502","222"
"85-89","643","316","335","197"
"90+","678","194","234","212"

"Datenstand 29.06.2021 18:37:53"
