"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","45","49","5","0"
"05-09","55","53","3","0"
"10-14","74","71","4","0"
"15-19","133","114","5","0"
"20-24","209","215","9","0"
"25-29","213","211","17","0"
"30-34","180","183","17","0"
"35-39","170","147","10","0"
"40-44","165","150","18","0"
"45-49","158","175","24","3"
"50-54","234","219","28","0"
"55-59","208","226","49","6"
"60-64","126","127","44","8"
"65-69","85","91","51","10"
"70-74","77","74","50","18"
"75-79","110","83","91","27"
"80-84","109","100","106","37"
"85-89","74","36","52","26"
"90+","72","23","29","27"

"Datenstand 01.10.2020 18:31:10"
