"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","446","469","19","1"
"05-09","462","556","9","0"
"10-14","499","602","14","0"
"15-19","823","841","25","0"
"20-24","1.142","1.163","40","0"
"25-29","1.100","1.079","58","0"
"30-34","1.043","1.168","62","1"
"35-39","951","1.053","77","0"
"40-44","1.055","924","82","1"
"45-49","974","889","90","2"
"50-54","1.117","1.147","118","3"
"55-59","1.071","1.069","148","14"
"60-64","662","759","139","19"
"65-69","390","449","155","32"
"70-74","392","406","210","59"
"75-79","443","397","274","99"
"80-84","727","473","423","191"
"85-89","610","288","277","175"
"90+","645","180","189","186"

"Datenstand 13.04.2021 20:15:14"
